ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status	TermID_revigo	Description_revigo
GO:0030149	sphingolipid catabolic process	3/226	32/18870	0.0065091116541189115	0.043074185454714246	0.03212098733499077	ASAH1/PPT1/HEXB	3	C2_Epithelial_CAPS	GSE145926	Down	GO:0006687	glycosphingolipid metabolic process
GO:0016042	lipid catabolic process	10/226	334/18870	0.007184450093893061	0.046451444552790835	0.03463945391935255	APOE/APOC1/CYP27A1/ASAH1/LIPA/PPT1/PLBD1/HSD17B11/HEXB/GPCPD1	10	C2_Epithelial_CAPS	GSE145926	Down	GO:0006631	fatty acid metabolic process
GO:0010887	negative regulation of cholesterol storage	2/226	11/18870	0.0073146609855299334	0.046516437519889535	0.034687920030806604	TREM2/PPARG	2	C2_Epithelial_CAPS	GSE145926	Down	GO:0010885	regulation of cholesterol storage
GO:0046890	regulation of lipid biosynthetic process	7/226	189/18870	0.007853647057416587	0.04903779221132897	0.03656812742778437	APOE/APOC1/CD74/TSPO/FABP5/ASAH1/DAB2	7	C2_Epithelial_CAPS	GSE145926	Down	GO:2001279	regulation of unsaturated fatty acid biosynthetic process
GO:0140042	lipid droplet formation	3/288	14/18870	0.001130479465412148	0.02162684295478808	0.017883481973774713	SMIM22/BSCL2/RNF213	3	C2_Epithelial_CAPS	GSE145926	Up	GO:0010878	cholesterol storage
GO:0030301	cholesterol transport	9/162	128/18870	1.6159779734952232e-6	8.505920424124856e-5	6.627829276938304e-5	APOC1/APOE/CES1/TREM2/TSPO/LRP1/MSR1/NPC2/LIPA	9	C8_Plasma_IGHG1	GSE145926	Down	GO:0030301	cholesterol transport
GO:0010878	cholesterol storage	5/162	25/18870	2.0270614951555743e-6	1.0295338646448048e-4	8.022147339092145e-5	CES1/TREM2/MSR1/NPC2/LIPA	5	C8_Plasma_IGHG1	GSE145926	Down	GO:0010878	cholesterol storage
GO:0033344	cholesterol efflux	7/162	73/18870	3.0569013198038314e-6	1.4602326309855808e-4	1.1378160269801293e-4	APOC1/APOE/CES1/TREM2/LRP1/NPC2/LIPA	7	C8_Plasma_IGHG1	GSE145926	Down	GO:0030301	cholesterol transport
GO:0032374	regulation of cholesterol transport	6/162	80/18870	6.490281826029062e-5	0.0017894634177480129	0.001394353278514314	APOC1/APOE/CES1/TREM2/TSPO/LRP1	6	C8_Plasma_IGHG1	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0010875	positive regulation of cholesterol efflux	4/162	27/18870	7.874352216764703e-5	0.0020537161862643075	0.0016002595353747518	APOE/CES1/TREM2/LRP1	4	C8_Plasma_IGHG1	GSE145926	Down	GO:1905952	regulation of lipid localization
